 array_element_name	array_element_type	organism	is_control	locus	description	chromosome
248888_at	oligonucleotide	Arabidopsis thaliana	no	AT5G46240	Encodes a potassium channel protein (KAT1). ABA triggers KAT1 endocytosis  both in epidermal cells as  well as guard cells. Upon removal of ABA, KAT1 is recycled back to the plasma membrane. KAT1 is localized  within 0.5?0.6 &#956;m diameter microdomains at the  plasma membrane surface.  KAT1 belongs to the Shaker family K+ channel. This family includes five groups based on phylogenetic analysis (FEBS Letters (2007) 581: 2357): I (inward rectifying channel): AKT1 (AT2G26650), AKT5 (AT4G32500) and SPIK (also known as AKT6, AT2G25600); II (inward rectifying channel): KAT1 (AT5G46240) and KAT2 (AT4G18290); III (weakly inward rectifying channel): AKT2 (AT4G22200); IV (regulatory subunit involved in inwardly rectifying conductance formation): KAT3 (also known as AtKC1, AT4G32650); V (outward rectifying channel): SKOR (AT3G02850) and GORK (AT5G37500).	5
247473_at	oligonucleotide	Arabidopsis thaliana	no	AT5G62260	AT hook motif DNA-binding family protein;(source:Araport11)	5
263743_at	oligonucleotide	Arabidopsis thaliana	no	AT2G21390	Coatomer, alpha subunit;(source:Araport11)	2
253397_at	oligonucleotide	Arabidopsis thaliana	no	AT4G32710	Encodes a member of the proline-rich extensin-like receptor kinase (PERK) family.  This family consists of 15 predicted receptor kinases (PMID: 15653807).	4
252527_at	oligonucleotide	Arabidopsis thaliana	no	AT3G46440	encodes a protein similar to UDP-glucuronic acid decarboxylase. UDP-glucuronic acid decarboxylase produces UDP-xylose, which is a substrate for many cell wall carbohydrates including hemicellulose and pectin. UDP-xylose is also known to feedback regulate several cell wall biosynthetic enzymes.	3
263896_at	oligonucleotide	Arabidopsis thaliana	no	AT2G21930	A paternally expressed imprinted gene.	2
251913_at	oligonucleotide	Arabidopsis thaliana	no	AT3G53910	malate dehydrogenase-like protein;(source:Araport11)	3
254092_at	oligonucleotide	Arabidopsis thaliana	no	AT4G25090	Riboflavin synthase-like superfamily protein;(source:Araport11)	4
257553_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16830	TOPLESS-related 2;(source:Araport11)	3
246081_s_at	oligonucleotide	Arabidopsis thaliana	no	AT5G20470	Encodes a headless derivative of myosin XI-K, which likely arose from a partial duplication of the XI-K gene and is developmentally regulated.	5
250832_at	oligonucleotide	Arabidopsis thaliana	no	AT5G04950	Encodes a nicotianamide synthase.	5
254686_at	oligonucleotide	Arabidopsis thaliana	no	AT4G13720	Inosine triphosphate pyrophosphatase family protein;(source:Araport11)	4
248538_at	oligonucleotide	Arabidopsis thaliana	no	AT5G50110	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)	5
258848_at	oligonucleotide	Arabidopsis thaliana	no	AT3G03305	Calcineurin-like metallo-phosphoesterase superfamily protein;(source:Araport11)	3
247051_at	oligonucleotide	Arabidopsis thaliana	no	AT5G66670	pectinesterase, putative (DUF677);(source:Araport11)	5
267034_at	oligonucleotide	Arabidopsis thaliana	no	AT2G38310	Encodes a member of the PYR (pyrabactin resistance  )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members.  PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2. The mRNA is cell-to-cell mobile.	2
266857_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26900	Sodium Bile acid symporter family;(source:Araport11)	2
249858_at	oligonucleotide	Arabidopsis thaliana	no	AT5G23000	Putative homolog of the Blind gene in tomato. Together with RAX2 and RAX3 belong to the class R2R3 MYB genes; encoded by the Myb-like transcription factor MYB37, regulates axillary meristem formation.  RAX1 is expressed in a small central domain within the boundary zone separating SAM and leaf primordia during early leaf primordium development and is currently the earliest spatial marker for future axillary meristems. Member of the R2R3 factor gene family.	5
260403_at	oligonucleotide	Arabidopsis thaliana	no	AT1G69810	member of WRKY Transcription Factor; Group II-b	1
260429_at	oligonucleotide	Arabidopsis thaliana	no	AT1G72450	JAZ6 transcript levels rise in response to a jasmonate stimulus and a GFP:JAZ6 fusion protein localizes to the nucleus.  Application of jasmonate methyl ester to Arabidopsis roots reduces the levels of a JAZ6:GUS fusion protein, presumably by stimulating ubiquitin-proteasome-mediated degradation.	1
250896_at	oligonucleotide	Arabidopsis thaliana	no	AT5G03560	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)	5
253912_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27340	Met-10+ like family protein;(source:Araport11)	4
261775_at	oligonucleotide	Arabidopsis thaliana	no	AT1G76280	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)	1
257543_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28960	Transmembrane amino acid transporter family protein;(source:Araport11)	3
264631_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65630	Encodes a putative DegP protease.	1
259152_at	oligonucleotide	Arabidopsis thaliana	no	AT3G10210	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein;(source:Araport11)	3
253841_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27830	Encodes a beta-glucosidase that may be responsible for acyl-glucose-dependent anthocyanin glucosyltransferase activity in Arabidopsis.  In vitro efforts to demonstrate AAGT activity for BGLU10 have been unsuccessful but experiments with mutants in this gene suggest at least an indirect involvement in anthocyanin formation.	4
259893_at	oligonucleotide	Arabidopsis thaliana	no	AT1G71390	receptor like protein 11;(source:Araport11)	1
248851_s_at	oligonucleotide	Arabidopsis thaliana	no	AT5G46260	disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	5
267557_at	oligonucleotide	Arabidopsis thaliana	no	AT2G32710	Kip-related protein (KRP) gene, encodes CDK (cyclin-dependent kinase) inhibitor (CKI). A member of seven KRP genes found in Arabidopsis thaliana. Negative regulator of cell division. Expressed in actively dividing cells.	2
246734_at	oligonucleotide	Arabidopsis thaliana	no	AT5G27680	RECQ helicase SIM;(source:Araport11)	5
254572_at	oligonucleotide	Arabidopsis thaliana	no	AT4G19380	Long-chain fatty alcohol dehydrogenase family protein;(source:Araport11)	4
247506_at	oligonucleotide	Arabidopsis thaliana	no	AT5G61960	A member of mei2-like gene family, predominantly plant-based family of genes encoding RNA binding proteins with characteristic presence of a highly conserved RNA binding motif first described in the mei2 gene of the fission yeast S. pombe. In silico analyses reveal nine mei2 -like genes in A. thaliana. They were grouped into four distinct clades, based on overall sequence similarity and subfamily-specific sequence elements. AML1 is a member of two sister clades of mei2-like gene family, AML1 through AML5 and belongs to the clade named ALM14. AML1 is expressed during early embryo development, particularly along embryonic axis at torpedo stage, in shoot apex (weaker expression) and in the organogenic regions of floral apices.	5
253734_at	oligonucleotide	Arabidopsis thaliana	no	AT4G29180	root hair specific 16;(source:Araport11)	4
258712_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G09680	Ribosomal protein S12/S23 family protein;(source:Araport11)	3
262575_at	oligonucleotide	Arabidopsis thaliana	no	AT1G15210	pleiotropic drug resistance 7;(source:Araport11)	1
251116_at	oligonucleotide	Arabidopsis thaliana	no	AT3G63470	serine carboxypeptidase-like 40;(source:Araport11)	3
266525_at	oligonucleotide	Arabidopsis thaliana	no	AT2G16970	Major facilitator superfamily protein;(source:Araport11)	2
262594_at	oligonucleotide	Arabidopsis thaliana	no	AT1G15250	Zinc-binding ribosomal protein family protein;(source:Araport11)	1
261395_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79700	WRI4 encodes an AP2/ERF-type transcriptional activator that specifically controls cuticular wax biosynthesis in Arabidopsis stems. It also functions to activate transcription of genes involved fatty acid biosynthesis during seed and flower development as well as stem wax biosynthesis. Targets identified by ChIP-seq include: LACS1, KCR1, PAS2, ECR, and WSD1.	1
265450_at	oligonucleotide	Arabidopsis thaliana	no	AT2G46620	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	2
252469_at	oligonucleotide	Arabidopsis thaliana	no	AT3G46920	kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein;(source:Araport11)	3
260566_at	oligonucleotide	Arabidopsis thaliana	no	AT2G43750	Arabidopsis thaliana O-acetylserine (thiol) lyase (OAS-TL) isoform oasB, the key enzyme for fixation of inorganic sulfide. It catalyzes the formation of cysteine from O-acetylserine and inorganic sulfide. Required for pollen tube growth and/or fertilization.	2
265695_at	oligonucleotide	Arabidopsis thaliana	no	AT2G24490	Encodes a component of Replication Protein A. Component of transcriptional gene silencing which does not affect endogenous small RNA  accumulation nor DNA methylation. Localized in the nucleus. Involved in DNA repair. Interacts physically with ROS1.	2
251662_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57080	Non-catalytic subunit unique to Nuclear DNA-dependent RNA polymerase V; homologous to budding yeast RPB5.	3
257603_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13820	F-box and associated interaction domains-containing protein;(source:Araport11)	3
265917_at	oligonucleotide	Arabidopsis thaliana	no	AT2G15080	receptor like protein 19;(source:Araport11)	2
245726_at	oligonucleotide	Arabidopsis thaliana	no	AT1G73360	Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family.  It is involved in trichome branching. The transcription factor directly upregulates the expression of several cell-wall-loosening protein genes and reveals the important role that these target genes play in coordinating cell-wall extensibility with root development.	1
262755_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16360	LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein;(source:Araport11)	1
252249_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49770	hypothetical protein;(source:Araport11)	3
261276_at	oligonucleotide	Arabidopsis thaliana	no	AT1G26670	member of VTI1 Gene Family. Normally localizes to the transgolgi network and plasma membrane. A dominant mutation  (zip1) alters the subcellular localization of VTI12 and suppresses loss of function mutation (zag1) of VTI11. Interacts with members of the SYP family. Involved in protein trafficking to protein storage vacuoles.	1
259841_at	oligonucleotide	Arabidopsis thaliana	no	AT1G52200	PLAC8 family protein;(source:Araport11)	1
254242_at	oligonucleotide	Arabidopsis thaliana	no	AT4G23200	Encodes a cysteine-rich receptor-like protein kinase.	4
263653_at	oligonucleotide	Arabidopsis thaliana	no	AT1G04310	encodes an ethylene receptor related to bacterial two-component histidine kinases.	1
260649_at	oligonucleotide	Arabidopsis thaliana	no	AT1G08080	alpha carbonic anhydrase 7;(source:Araport11)	1
267161_at	oligonucleotide	Arabidopsis thaliana	no	AT2G37678	Positive regulator of photomorphogenesis in far-red light. Most abundant in young seedlings in the dark. Downregulated in the light and older as plants develop. Localized in the nucleus and the cytoplasm. Nuclear localization strongest in the dark. Degraded through the 26S proteasome. Regulated by PHYA. It is specifically required for the light-regulated nuclear accumulation of phyA ( but not phyB) likely by shuttling PHYA into the nucleus.	2
251740_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56070	rotamase cyclophilin 2 (ROC2) exhibiting peptidyl-prolyl cis-trans isomerase activity involved in signal transduction.	3
246552_at	oligonucleotide	Arabidopsis thaliana	no	AT5G15420	hypothetical protein;(source:Araport11)	5
250759_at	oligonucleotide	Arabidopsis thaliana	no	AT5G06020	Plant self-incompatibility protein S1 family;(source:Araport11)	5
262974_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75550	glycine-rich protein;(source:Araport11)	1
260170_at	oligonucleotide	Arabidopsis thaliana	no	AT1G71890	Encodes a sucrose transporter that is expressed in the endosperm. Mutants have delayed accumulation of fatty acids and embryo maturation.	1
261386_at	oligonucleotide	Arabidopsis thaliana	no	AT1G05430	Hypothetical protein, expression induced by Al.	1
253646_at	oligonucleotide	Arabidopsis thaliana	no	AT4G29810	encodes a MAP kinase kinase 2 that regulates MPK6 and MPK4 in response to cold and salt stresses. Co-expression with MEKK1 in protoplasts activated MKK2 activity, suggesting that MEKK1 may be a regulator of MKK2.	4
258619_at	oligonucleotide	Arabidopsis thaliana	no	AT3G02780	Encodes a protein with isopentenyl diphosphate:dimethylallyl diphosphate isomerase activity. There is genetic evidence that it functions in the mevalonate, but not the MEP biosynthetic pathway.	3
253968_at	oligonucleotide	Arabidopsis thaliana	no	AT4G26560	Encodes calcineurin B-like protein 7 (CBL7).Interacts with and modulates  the activity of the PM ATPase AHA2.	4
261883_at	oligonucleotide	Arabidopsis thaliana	no	AT1G80870	Protein kinase superfamily protein;(source:Araport11)	1
254225_at	oligonucleotide	Arabidopsis thaliana	no	AT4G23670	Polyketide cyclase/dehydrase and lipid transport superfamily protein;(source:Araport11)	4
266591_at	oligonucleotide	Arabidopsis thaliana	no	AT2G46225	Encodes a subunit of the WAVE complex. The WAVE complex is required for activation of ARP2/3 complex which functions in actin microfilament nucleation and branching.  One of four ABI-like proteins.	2
247004_at	oligonucleotide	Arabidopsis thaliana	no	AT5G67570	Encodes a pentratricopeptide repeat containing protein that is targeted to the chloroplast. Mutants have pale young leave and reduced accumulation of plastid encoded transcripts suggesting a role for DG1 in regulation of plastid gene expression.	5
261117_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75310	auxin-like 1 protein;(source:Araport11)	1
266245_at	oligonucleotide	Arabidopsis thaliana	no	AT2G27700	eukaryotic translation initiation factor 2 family protein / eIF-2 family protein;(source:Araport11)	2
259806_at	oligonucleotide	Arabidopsis thaliana	no	AT1G47900	filament-like protein (DUF869);(source:Araport11)	1
247049_at	oligonucleotide	Arabidopsis thaliana	no	AT5G66440	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit;(source:Araport11)	5
253141_at	oligonucleotide	Arabidopsis thaliana	no	AT4G35440	Enclodes a choride channel protein that is localized to the thlakoid membrane.	4
252046_at	oligonucleotide	Arabidopsis thaliana	no	AT3G52460	hydroxyproline-rich glycoprotein family protein;(source:Araport11)	3
254010_at	oligonucleotide	Arabidopsis thaliana	no	AT4G26240	histone-lysine N-methyltransferase;(source:Araport11)	4
251802_at	oligonucleotide	Arabidopsis thaliana	no	AT3G55380	ubiquitin-conjugating enzyme 14;(source:Araport11)	3
263455_at	oligonucleotide	Arabidopsis thaliana	no	AT2G22320	hypothetical protein;(source:Araport11)	2
261262_at	oligonucleotide	Arabidopsis thaliana	no	AT1G26760	SET domain protein 35;(source:Araport11)	1
264567_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G05250	Encodes a cationic cell-wall-bound peroxidase homolog that is involved in the lignification of cell walls. Regulated by COG1, involved in seed longevity.	1
252640_at	oligonucleotide	Arabidopsis thaliana	no	AT3G44560	fatty acid reductase 8;(source:Araport11)	3
253503_at	oligonucleotide	Arabidopsis thaliana	no	AT4G31950	member of CYP82C	4
248424_at	oligonucleotide	Arabidopsis thaliana	no	AT5G51680	hydroxyproline-rich glycoprotein family protein;(source:Araport11)	5
254953_at	oligonucleotide	Arabidopsis thaliana	no	AT4G10925	Nuclear transport factor 2 (NTF2) family protein;(source:Araport11)	4
251691_at	oligonucleotide	Arabidopsis thaliana	no	AT3G56520	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein;(source:Araport11)	3
265025_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24575	DEAD-box ATP-dependent RNA helicase-like protein;(source:Araport11)	1
261205_at	oligonucleotide	Arabidopsis thaliana	no	AT1G12790	DNA ligase-like protein;(source:Araport11)	1
253206_at	oligonucleotide	Arabidopsis thaliana	no	AT4G34640	Encodes squalene synthase, which converts two molecules of farnesyl diphosphate (FPP) into squalene via an intermediate: presqualene diphosphate (PSPP). It is generally thought to be one of the key enzymes of sterol biosynthesis, since it catalyzes the first pathway-specific reaction of the sterol branch of the isoprenoid pathway. The mRNA is cell-to-cell mobile.	4
255424_at	oligonucleotide	Arabidopsis thaliana	no	AT4G03340	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;(source:Araport11)	4
265954_at	oligonucleotide	Arabidopsis thaliana	no	AT2G37260	Encodes a protein similar to WRKY transcription factors that is expressed in the seed integument and endosperm. Mutants are defective in proanthocyanidin synthesis and seed mucilate deposition. Seeds are yellow colored. Seed size is also affected; seeds  are reduced in size but only when the mutant allele is transmitted through the female parent.Loss of function alleles are associated with a reduction in interploidy lethality.	2
248169_at	oligonucleotide	Arabidopsis thaliana	no	AT5G54610	Induced in response to Salicylic acid. Belongs to the ankyrin repeat protein family.	5
254715_at	oligonucleotide	Arabidopsis thaliana	no	AT4G13550	Heat stress inducible plastid monogalactosyldiacylglycerol lipase.	4
261153_at	oligonucleotide	Arabidopsis thaliana	no	AT1G04850	ubiquitin-associated (UBA)/TS-N domain-containing protein;(source:Araport11)	1
246086_at	oligonucleotide	Arabidopsis thaliana	no	AT5G20560	Glycosyl hydrolase superfamily protein;(source:Araport11)	5
257295_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17420	Serine/threonine protein kinase-like protein expressed in etiolated cotyledons and found in glyoxysomes.	3
258668_at	oligonucleotide	Arabidopsis thaliana	no	AT3G08780	BRISC complex subunit Abro1-like protein;(source:Araport11)	3
246581_at	oligonucleotide	Arabidopsis thaliana	no	AT1G31760	SWIB/MDM2 domain superfamily protein;(source:Araport11)	1
247186_at	oligonucleotide	Arabidopsis thaliana	no	AT5G65470	O-fucosyltransferase family protein;(source:Araport11)	5
256533_at	oligonucleotide	Arabidopsis thaliana	no	AT1G33250	beta-1,3-n-acetylglucosaminyltransferase radical fringe protein, putative (DUF604);(source:Araport11)	1
260335_at	oligonucleotide	Arabidopsis thaliana	no	AT1G74000	encodes a protein similar to strictosidine synthase, which is involved in the production of monoterpene indole alkaloids. This gene belongs to a family of 13 members in Arabidopsis.	1
251778_at	oligonucleotide	Arabidopsis thaliana	no	AT3G55660	Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily.	3
252360_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48480	Cysteine proteinases superfamily protein;(source:Araport11)	3
247077_at	oligonucleotide	Arabidopsis thaliana	no	AT5G66420	TIM-barrel signal transduction protein;(source:Araport11)	5
258615_at	oligonucleotide	Arabidopsis thaliana	no	AT3G02740	Eukaryotic aspartyl protease family protein;(source:Araport11)	3
265072_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55580	Encodes a member of the GRAS family of putative transcriptional regulators. It is involved in the initiation of axillary meristems during both the vegetative and reproductive growth phases and functions upstream of REV and AXR1 in the regulation of shoot branching.	1
262226_at	oligonucleotide	Arabidopsis thaliana	no	AT1G53903	linoleate 9S-lipoxygenase-4 protein, putative (DUF581);(source:Araport11)	1
251177_at	oligonucleotide	Arabidopsis thaliana	no	AT3G63400	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)	3
261133_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19715	Mannose-binding lectin superfamily protein;(source:Araport11)	1
247402_at	oligonucleotide	Arabidopsis thaliana	no	AT5G62750	hypothetical protein;(source:Araport11)	5
256402_at	oligonucleotide	Arabidopsis thaliana	no	AT3G06130	Heavy metal transport/detoxification superfamily protein;(source:Araport11)	3
248529_at	oligonucleotide	Arabidopsis thaliana	no	AT5G50000	Belongs to the Raf-like kinase subfamily of the mitogen-activated protein kinase kinase kinase (MAPKKK) family. Negatively regulates stomatal opening by negatively regulating plasma membrane H+-ATPase phosphorylation.	5
256292_at	oligonucleotide	Arabidopsis thaliana	no	AT1G69430	Son of sevenless protein;(source:Araport11)	1
260646_at	oligonucleotide	Arabidopsis thaliana	no	AT1G53340	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)	1
244996_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00160	Chloroplast ribosomal protein S2	C
258893_at	oligonucleotide	Arabidopsis thaliana	no	AT3G05660	receptor like protein 33;(source:Araport11)	3
263087_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G16130	polyol/monosaccharide transporter 2;(source:Araport11)	2
247349_at	oligonucleotide	Arabidopsis thaliana	no	AT5G63820	hypothetical protein (DUF626);(source:Araport11)	5
257877_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17140	Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)	3
257245_at	oligonucleotide	Arabidopsis thaliana	no	AT3G24110	Calcium-binding EF-hand family protein;(source:Araport11)	3
245171_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47560	RING/U-box superfamily protein;(source:Araport11)	2
253783_at	oligonucleotide	Arabidopsis thaliana	no	AT4G28600	encodes a calmodulin-binding protein that is expressed in pollen, suspension culture cells, flowers, and fruits.	4
260301_at	oligonucleotide	Arabidopsis thaliana	no	AT1G80290	a member of the Glycosyltransferase Family 64 (according to CAZy Database)	1
245654_at	oligonucleotide	Arabidopsis thaliana	no	AT1G56540	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	1
266008_at	oligonucleotide	Arabidopsis thaliana	no	AT2G37390	Chloroplast-targeted copper chaperone protein;(source:Araport11)	2
265530_at	oligonucleotide	Arabidopsis thaliana	no	AT2G06050	Encodes a 12-oxophytodienoate reductase that is required for jasmonate biosynthesis. Mutants are male sterile and defective in pollen dehiscence. Shows activity towards 2,4,6-trinitrotoluene.  CFA-Ile, CFA-Leu, CFA-Val, CFA-Met and CFA-Ala can restore the fertility of opr3 plants by inducing filament elongation and anther dehiscence.	2
256804_at	oligonucleotide	Arabidopsis thaliana	no	AT3G20920	Encodes an endoplasmic reticulum localized protein with similarity to yeast Sec62p. Mutants display growth defects and significantly reduced fertility. AtSec62 does not complement the thermosensitive phenotype of yeast Sec62 mutants.	3
246884_at	oligonucleotide	Arabidopsis thaliana	no	AT5G26220	ChaC-like family protein;(source:Araport11)	5
256140_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48650	DEA(D/H)-box RNA helicase family protein;(source:Araport11)	1
253914_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27400	Late embryogenesis abundant (LEA) protein-like protein;(source:Araport11)	4
246529_at	oligonucleotide	Arabidopsis thaliana	no	AT5G15730	Protein kinase superfamily protein;(source:Araport11)	5
264196_at	oligonucleotide	Arabidopsis thaliana	no	AT1G22670	Protease-associated (PA) RING/U-box zinc finger family protein;(source:Araport11)	1
256055_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07030	Mitochondrial substrate carrier family protein;(source:Araport11)	1
247507_at	oligonucleotide	Arabidopsis thaliana	no	AT5G61930	ACCUMULATION OF PHOTOSYSTEM ONE 3	5
253908_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27260	encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin. It is involved in camalexin biosynthesis via conjugating indole-3-carboxylic acid (ICA) and cysteine (Cys). The mRNA is cell-to-cell mobile.	4
260400_at	oligonucleotide	Arabidopsis thaliana	no	AT1G69860	Major facilitator superfamily protein;(source:Araport11)	1
264517_at	oligonucleotide	Arabidopsis thaliana	no	AT1G10120	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)	1
267053_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G38390	Peroxidase superfamily protein;(source:Araport11)	2
260812_at	oligonucleotide	Arabidopsis thaliana	no	AT1G43650	nodulin MtN21-like transporter family protein	1
256877_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26470	Powdery mildew resistance protein, RPW8 domain-containing protein;(source:Araport11)	3
264662_at	oligonucleotide	Arabidopsis thaliana	no	AT1G09960	low affinity (10mM) sucrose transporter in sieve elements (phloem)	1
253913_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27370	member of Myosin-like proteins	4
263613_at	oligonucleotide	Arabidopsis thaliana	no	AT2G25250	serine/arginine repetitive matrix-like protein;(source:Araport11)	2
265052_at	oligonucleotide	Arabidopsis thaliana	no	AT1G51990	O-methyltransferase family protein;(source:Araport11)	1
249868_at	oligonucleotide	Arabidopsis thaliana	no	AT5G23030	Member of TETRASPANIN family	5
252141_at	oligonucleotide	Arabidopsis thaliana	no	AT3G51100	altered inheritance of mitochondria protein;(source:Araport11)	3
246114_at	oligonucleotide	Arabidopsis thaliana	no	AT5G20250	encodes a member of glycosyl hydrolase family 36. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell. The mRNA is cell-to-cell mobile.	5
254417_at	oligonucleotide	Arabidopsis thaliana	no	AT4G21470	Bifunctional enzyme that catalyzes hydrolysis of FMN to riboflavin, and phosphorylation of riboflavin to FMN. The mRNA is cell-to-cell mobile.	4
255293_at	oligonucleotide	Arabidopsis thaliana	no	AT4G04730	Ta11-like non-LTR retrotransposon;(source:Araport11)	4
255840_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33520	cysteine-rich/transmembrane domain protein A;(source:Araport11)	2
265109_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G63360	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	1
256536_at	oligonucleotide	Arabidopsis thaliana	no	AT1G33330	Class I peptide chain release factor;(source:Araport11)	1
258259_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26840	Encodes a protein with phytyl ester synthesis and diacylglycerol acyltransferase activities that is involved in the deposition of free phytol and free fatty acids in the form of phytyl esters in chloroplasts, a process involved in maintaining the integrity of the photosynthetic membrane during abiotic stress and senescence.	3
258056_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29010	Biotin/lipoate A/B protein ligase family;(source:Araport11)	3
258923_at	oligonucleotide	Arabidopsis thaliana	no	AT3G10450	serine carboxypeptidase-like 7;(source:Araport11)	3
261552_at	oligonucleotide	Arabidopsis thaliana	no	AT1G63430	Leucine-rich repeat protein kinase family protein;(source:Araport11)	1
